profession,social_media_sleep,mood_disorder,content_type_social_media,think_time_instagram,think_time_whatsapp,think_time_twitter,think_time_facebook,think_time_youtube,think_time_linkedin,actual_time_instagram,actual_time_whatsapp,actual_time_twitter,actual_time_facebook,actual_time_youtube,actual_time_linkedin,focus_quality,binge_watch_reels,sad_content_feed,social_media_purpose,social_relationship_impact,time_loss_social_media,sleep_quality_general,refreshed_after_social_media,anxious_stressed,compare_with_others,headaches_eyestrain,trouble_sleeping_month,sleep_quality_month,social_media_before_bed,nervous_anxious,smartphone_discomfort
0,3,4,44,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,22,3,4,4,0,1,3,1,3,3,1,2,2
0,1,3,44,4,3,4,3,3,2,4,3,4,2,3,2,1,1,1,46,3,4,4,0,1,1,1,1,1,1,1,1
0,3,3,12,2,2,4,4,3,1,2,2,4,4,4,1,2,4,4,67,1,4,3,0,0,1,1,1,4,1,1,1
0,1,5,50,4,2,1,4,4,4,4,2,0,3,3,3,1,1,1,84,1,4,1,0,0,5,1,3,4,0,1,4
0,3,2,47,3,3,4,3,4,4,3,4,3,4,3,4,3,3,3,84,5,3,3,1,1,3,1,4,3,1,3,4
0,3,4,16,1,0,2,4,1,4,3,0,2,2,1,2,4,5,4,52,4,4,2,0,0,3,1,4,4,1,4,4
6,4,4,48,2,2,2,2,1,4,2,2,2,4,1,4,4,4,3,26,3,3,4,0,1,3,1,4,4,1,3,1
0,5,1,16,2,0,4,4,0,4,4,0,4,4,0,4,1,3,3,60,3,4,3,0,0,1,1,1,3,1,3,1
0,3,1,44,0,3,2,2,1,4,1,0,2,4,3,4,4,2,2,43,4,4,4,1,0,5,1,2,2,1,1,3
0,3,3,44,1,0,4,4,1,4,2,3,4,4,2,4,3,3,4,84,2,4,4,0,1,3,1,3,2,0,3,2
0,3,4,10,2,2,4,2,2,4,2,2,4,2,2,4,3,3,3,46,1,4,3,0,0,4,1,4,3,1,3,2
0,2,2,4,4,2,4,4,2,4,4,2,4,4,2,4,1,1,1,15,1,3,4,0,1,1,1,1,4,0,1,1
7,3,2,30,4,3,4,4,2,4,4,3,4,4,2,4,3,2,1,84,3,4,4,0,1,3,1,1,4,1,2,1
0,3,3,5,2,2,4,4,2,4,4,2,4,4,1,4,3,1,1,0,2,4,3,0,0,1,1,2,3,0,1,1
0,3,3,45,3,4,4,4,4,4,3,4,4,4,4,4,4,3,5,82,3,4,2,0,1,2,1,4,3,1,3,2
0,5,2,12,3,3,4,4,3,4,3,3,4,4,3,4,1,1,1,52,2,4,3,0,0,1,1,1,1,0,2,2
